observation_id,taxon_id,observer_id,n,signature,stratum_groups,included,reason
61016159,145242,2106850,3,2;2;2,3,True,MATCHABLE
61400298,7458,924485,2,1;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
62635334,6987,2389020,5,1;2;2;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
63459556,4205,2640786,3,0;0;0,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
63503204,6933,121308,5,1;1;1;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
63518429,4368,2931793,2,2;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
63975168,4368,1254991,2,0;0,3,True,MATCHABLE
64997176,6933,1973881,2,1;1,8,True,MATCHABLE
64997179,7458,1973881,2,0;1,4,True,MATCHABLE
65336463,7294,3389978,3,1;1;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
65662215,12024,1187449,2,0;0,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
66190222,9424,1923500,5,0;0;0;0;0,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
66592160,145242,1527720,5,1;2;2;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
66700198,4368,2883211,2,1;2,4,True,MATCHABLE
66845652,7458,566416,2,0;0,9,True,MATCHABLE
66878552,6987,3906011,2,1;2,3,True,MATCHABLE
67092873,9424,2340017,2,2;2,4,True,MATCHABLE
68321510,6933,1143067,3,2;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
69025980,7458,428097,3,0;0;0,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
69998655,6933,3462065,2,1;1,8,True,MATCHABLE
70259242,9424,593700,4,1;2;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
70481583,9981,5692,2,1;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
70751662,6933,121308,2,0;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
70832181,6933,2935373,2,1;1,8,True,MATCHABLE
71185921,9319,1416674,4,0;1;1;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
71583219,2548,289762,4,1;1;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
71899645,7458,1027153,4,0;0;1;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
72410702,144537,289762,2,0;0,5,True,MATCHABLE
72410708,144537,289762,2,0;0,5,True,MATCHABLE
72849769,9319,2664595,2,2;2,4,True,MATCHABLE
73215737,7458,3210720,2,0;0,9,True,MATCHABLE
73311285,2548,289762,2,2;2,10,True,MATCHABLE
74759190,144537,1255620,2,0;0,5,True,MATCHABLE
75650782,9424,511314,3,0;0;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
75678014,9915,4311210,2,0;0,4,True,MATCHABLE
75922259,10224,137344,2,1;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
75967174,9319,1459469,2,1;1,3,True,MATCHABLE
76549693,4368,2852236,2,2;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
76804664,145242,4151344,2,2;2,5,True,MATCHABLE
78061896,558441,2640786,2,0;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
78368650,7109,228106,2,1;1,6,True,MATCHABLE
78508919,144537,3367509,2,1;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
78626654,9981,3468840,2,0;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
78729346,558441,104202,3,1;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
78903772,144537,584563,3,2;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
79225528,11858,2530133,2,0;0,6,True,MATCHABLE
79891841,9981,1522777,2,1;1,4,True,MATCHABLE
79907590,558441,3705155,2,0;0,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
79950442,9721,584563,2,2;2,8,True,MATCHABLE
79976405,9915,26019,4,0;1;1;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
80070349,4205,2640786,2,0;0,6,True,MATCHABLE
80283126,9721,228106,2,1;1,3,True,MATCHABLE
80882816,9424,519692,2,2;2,4,True,MATCHABLE
82715874,558441,4494687,3,1;1;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
82721369,9319,1187449,3,1;1;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
82856394,4205,4494687,2,0;1,5,True,MATCHABLE
84629757,145242,3780928,2,2;2,5,True,MATCHABLE
85835605,10247,1050823,2,1;1,4,True,MATCHABLE
88842436,9981,1054732,2,1;1,4,True,MATCHABLE
90643097,11858,90390,2,2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
92667788,11858,4767684,4,0;0;0;0,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
93640112,2548,3130229,5,1;1;1;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
93728165,62550,1160052,2,0;1,3,True,MATCHABLE
94076198,6933,802464,2,1;1,8,True,MATCHABLE
95289102,10247,3780928,2,1;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
95583754,144537,119083,4,0;1;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
95588219,2548,3367509,2,2;2,10,True,MATCHABLE
95692983,4368,119083,5,0;0;0;0;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
95976194,10247,2380156,4,2;2;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
97109215,9319,1792086,2,0;0,4,True,MATCHABLE
97516157,7458,3156584,2,0;0,9,True,MATCHABLE
98371119,6933,4924157,2,2;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
98568814,7458,2144373,2,0;1,4,True,MATCHABLE
99287038,9915,2202406,5,1;1;1;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
99337586,2548,3617051,2,2;2,10,True,MATCHABLE
99903092,7458,3780928,2,0;0,9,True,MATCHABLE
100353209,4345,5189135,2,0;0,5,True,MATCHABLE
100511172,6933,828994,5,1;1;1;1;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
101054554,7458,6755,2,0;0,9,True,MATCHABLE
101272990,7109,3156584,3,0;0;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
101273530,2548,3156584,2,1;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
101667102,2548,3156584,2,1;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
101738815,7109,483232,2,1;1,6,True,MATCHABLE
102023627,7109,41329,3,1;1;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
102154123,4345,748116,2,0;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
103621076,4345,1118315,3,0;0;0,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
103838583,558441,2627439,2,2;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
103838620,558441,2627439,3,1;1;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
104219906,9915,3442973,5,1;1;2;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
104222275,9915,3442973,5,0;0;0;0;0,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
104302369,4205,385459,2,2;2,3,True,MATCHABLE
105040663,145242,754633,3,2;2;2,3,True,MATCHABLE
105102716,7109,5040399,2,0;0,4,True,MATCHABLE
105203791,558441,3977395,3,0;1;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
106762279,10247,388075,2,1;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
107068702,145242,754633,4,2;2;2;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
107810073,7109,6755,2,0;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
107881147,558441,1495122,2,1;1,3,True,MATCHABLE
108019748,6933,1495122,3,1;1;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
108089060,9319,1250923,4,1;1;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
108278869,10227,5378484,2,2;2,6,True,MATCHABLE
108384405,9771,5378484,3,0;0;0,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
108509033,6933,4936898,3,1;1;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
108818566,9424,3950309,2,0;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
108821148,145242,3407654,4,2;2;2;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
109875342,9981,1014916,2,0;1,3,True,MATCHABLE
109982661,2548,2241434,2,2;2,10,True,MATCHABLE
111510264,9424,2305783,4,0;0;0;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
111590290,7109,3826865,2,2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
112700979,9424,401030,2,1;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
112761145,10227,2241434,2,0;0,5,True,MATCHABLE
113033492,16028,3950309,2,2;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
113542660,10224,1673632,2,1;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
114690567,9424,428361,2,1;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
115171699,145242,5378484,3,1;1;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
115837959,7109,2361065,2,1;1,6,True,MATCHABLE
116172471,4205,4146856,2,1;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
116496595,10227,2554418,3,1;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
116658092,144537,1572028,5,0;0;2;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
117883042,4205,5701712,2,0;0,6,True,MATCHABLE
118212026,558441,3283576,3,0;0;0,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
120480577,9424,5047019,4,0;0;1;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
120480580,9424,5047019,5,0;1;1;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
121066746,11858,2044851,3,0;0;0,8,True,MATCHABLE
121726197,7470,5354795,5,0;0;1;1;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
121777859,14898,3822462,3,2;2;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
121868610,9921,696052,2,1;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
122090046,11858,4582350,3,0;0;0,8,True,MATCHABLE
122406384,14898,441187,2,2;2,8,True,MATCHABLE
122583226,9721,1034489,2,1;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
123550555,9921,809647,3,1;1;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
123577494,11858,385459,2,0;0,6,True,MATCHABLE
123763419,4345,547500,2,1;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
123897958,9346,5645245,3,0;0;0,3,True,MATCHABLE
124494817,558441,881785,5,1;1;1;1;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
125332514,558441,4549161,2,2;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
125482362,11858,4726573,4,0;0;0;0,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
126102443,4368,5231508,2,1;2,4,True,MATCHABLE
126305408,11858,2514171,3,0;0;0,8,True,MATCHABLE
126609779,7458,1559150,2,1;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
126703834,11858,1459469,3,0;0;0,8,True,MATCHABLE
128368721,62148,1038125,5,1;1;1;1;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
128368746,62148,1038125,3,1;2;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
129564151,10247,90390,3,1;1;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
129811985,16028,2256664,2,1;2,6,True,MATCHABLE
130710116,16028,285440,3,2;2;2,3,True,MATCHABLE
132045180,2548,6045581,3,1;1;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
133228892,7294,85608,2,0;0,4,True,MATCHABLE
134091970,4345,107247,3,0;0;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
135751397,2548,554,2,1;1,3,True,MATCHABLE
136311395,2548,3132814,2,2;2,10,True,MATCHABLE
136928950,2548,582103,5,2;2;2;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
137815096,4345,5521295,5,0;0;1;1;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
138081575,6987,5154363,2,0;1,3,True,MATCHABLE
138496514,9981,1596155,3,2;2;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
138560828,7294,3367509,3,0;0;0,3,True,MATCHABLE
139118379,145242,3574174,2,2;2,5,True,MATCHABLE
140988335,7109,1065857,3,0;1;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
141141661,4205,3138967,2,0;0,6,True,MATCHABLE
141713249,9915,299543,3,0;0;0,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
141838314,4205,5847412,2,2;2,3,True,MATCHABLE
142812807,4205,5847412,3,2;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
143199552,4345,5521295,5,1;1;1;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
143297143,7470,6220833,2,0;1,3,True,MATCHABLE
144209930,9771,427851,4,2;2;2;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
144246419,9346,3574174,2,2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
144674857,9721,1577538,5,1;1;1;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
145534145,9915,6096368,2,0;1,3,True,MATCHABLE
145633555,145242,3983455,3,1;1;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
146194640,558441,5701712,3,1;1;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
146228494,4345,3506688,2,0;0,5,True,MATCHABLE
146539414,7470,28726,2,0;1,3,True,MATCHABLE
146973540,9319,226701,2,2;2,4,True,MATCHABLE
147055392,4345,6146311,3,1;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
147698175,558441,881785,5,0;0;1;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
148285314,7294,3474507,5,0;1;1;1;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
148392927,9981,3021352,2,1;1,4,True,MATCHABLE
148458284,62148,5482951,3,1;2;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
148492713,2548,554,2,1;1,3,True,MATCHABLE
148913047,7109,993246,3,0;0;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
149018254,2548,94514,2,2;2,10,True,MATCHABLE
149066536,4345,6146311,3,0;0;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
149159812,9915,518331,4,1;1;1;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
150013574,4368,119083,2,1;2,4,True,MATCHABLE
150402987,9771,1459561,2,2;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
150825712,4209,5231508,3,0;0;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
152552707,145242,2115148,3,1;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
153375937,2548,6084418,2,1;1,3,True,MATCHABLE
153494559,14898,3574174,2,2;2,8,True,MATCHABLE
154550393,558441,4522909,3,0;1;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
156032745,4209,3525243,3,0;0;0,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
156035756,4209,3525243,5,0;0;0;0;0,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
156596787,558441,828994,5,2;2;2;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
157357727,9981,2788961,2,2;2,4,True,MATCHABLE
159203831,62550,518331,2,1;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
159536189,9346,21451,2,0;1,3,True,MATCHABLE
159545006,10224,2686261,2,2;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
160342704,9346,5797918,2,1;1,3,True,MATCHABLE
160413228,12024,5815692,2,0;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
160895895,9721,5504538,4,0;2;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
161231191,9721,1878517,2,1;1,3,True,MATCHABLE
161600028,9346,4558493,2,0;1,3,True,MATCHABLE
161600716,9346,4558493,4,0;0;1;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
161940746,62148,2596094,2,1;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
163118864,9915,286912,3,2;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
163968405,9981,1035920,2,0;1,3,True,MATCHABLE
163989226,9721,1216811,2,2;2,8,True,MATCHABLE
164362440,11935,3130229,2,2;2,5,True,MATCHABLE
166002134,9319,5834936,3,1;1;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
166257863,11858,5847412,3,0;0;0,8,True,MATCHABLE
167175713,4205,5195047,3,0;0;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
167232181,11858,5847412,2,0;0,6,True,MATCHABLE
167759721,14898,4509325,4,1;1;1;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
168465914,9981,385656,2,1;1,4,True,MATCHABLE
168705318,9319,1209968,2,0;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
168765684,11935,3947499,2,0;0,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
170352769,11935,631684,2,2;2,5,True,MATCHABLE
171008453,2548,2600189,2,2;2,10,True,MATCHABLE
171331897,4356,5427517,5,2;2;2;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
171775745,4356,2827644,2,1;1,4,True,MATCHABLE
172939472,9319,1209968,3,1;1;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
