,observation_id,taxon_id,observer_id,n,signature,stratum_groups,included,reason
58,44466951,4209,913789,2,1;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
59,44518393,6933,119083,2,1;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
60,44656877,9319,1363705,3,0;0;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
61,45523784,9721,63502,2,2;2,8,True,MATCHABLE
62,45562843,11858,591320,5,0;0;0;0;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
63,46010350,9721,444486,2,2;2,8,True,MATCHABLE
64,46017278,10247,428097,3,2;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
65,46021913,10247,209047,2,2;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
66,46246538,10227,1673632,3,0;0;0,4,True,MATCHABLE
67,46327148,9981,547997,5,1;1;1;1;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
68,46536948,10227,2384489,2,0;0,5,True,MATCHABLE
69,46543927,10247,2384489,2,0;0,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
70,46544052,9921,2384489,2,0;0,4,True,MATCHABLE
71,46674369,11858,432333,2,0;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
72,47167531,11858,2001523,2,0;0,6,True,MATCHABLE
73,47881576,6987,1768249,2,0;1,3,True,MATCHABLE
74,47997181,4205,2512887,2,0;0,6,True,MATCHABLE
75,48289287,11858,591320,3,0;0;0,8,True,MATCHABLE
76,48355678,4205,2512887,2,1;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
77,48356060,144537,2512887,2,1;2,4,True,MATCHABLE
78,49030942,9981,90147,3,2;2;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
79,50210477,9921,1791950,3,2;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
80,50467464,9424,1538007,2,2;2,4,True,MATCHABLE
81,50712513,9921,1883274,2,0;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
82,50782959,11858,1684766,2,0;0,6,True,MATCHABLE
83,50981793,9721,1099095,3,2;2;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
84,51018100,10227,2677922,2,2;2,6,True,MATCHABLE
85,51403795,9721,466325,2,2;2,8,True,MATCHABLE
86,51617277,9319,3022627,4,0;0;0;0,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
87,51773417,11858,2300830,3,1;1;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
88,52658911,11858,2300830,3,0;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
89,53187239,16028,1154429,3,2;2;2,3,True,MATCHABLE
90,53187991,10247,1910832,2,1;1,4,True,MATCHABLE
91,53188114,10247,1910832,2,1;1,4,True,MATCHABLE
92,53377786,9921,1923500,4,0;1;1;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
93,54158117,10224,2801364,2,1;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
94,54183913,9921,1923500,2,0;0,4,True,MATCHABLE
95,54275134,9424,1923500,3,0;0;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
96,54498909,4368,1568125,3,0;0;0,3,True,MATCHABLE
97,55615856,2548,298482,2,2;2,10,True,MATCHABLE
98,55756769,2548,591320,3,0;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
99,56310410,16028,1925038,2,1;2,6,True,MATCHABLE
100,56651125,4368,41329,2,0;0,3,True,MATCHABLE
101,56739707,144537,1456163,2,1;2,4,True,MATCHABLE
102,57930692,9921,2698991,4,0;0;1;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
103,58895394,10227,3326085,2,2;2,6,True,MATCHABLE
104,58895472,10227,3326085,2,2;2,6,True,MATCHABLE
105,58932424,2548,3112069,5,0;0;0;0;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
106,60443768,2548,990003,4,2;2;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
107,60824631,9721,2793172,2,1;1,3,True,MATCHABLE
108,61016159,145242,2106850,3,2;2;2,3,True,MATCHABLE
109,61400298,7458,924485,2,1;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
110,62635334,6987,2389020,5,1;2;2;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
111,63459556,4205,2640786,3,0;0;0,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
112,63503204,6933,121308,5,1;1;1;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
113,63518429,4368,2931793,2,2;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
114,63975168,4368,1254991,2,0;0,3,True,MATCHABLE
115,64997176,6933,1973881,2,1;1,8,True,MATCHABLE
116,64997179,7458,1973881,2,0;1,4,True,MATCHABLE
117,65336463,7294,3389978,3,1;1;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
118,65662215,12024,1187449,2,0;0,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
119,66190222,9424,1923500,5,0;0;0;0;0,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
120,66592160,145242,1527720,5,1;2;2;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
121,66700198,4368,2883211,2,1;2,4,True,MATCHABLE
122,66845652,7458,566416,2,0;0,9,True,MATCHABLE
123,66878552,6987,3906011,2,1;2,3,True,MATCHABLE
124,67092873,9424,2340017,2,2;2,4,True,MATCHABLE
125,68321510,6933,1143067,3,2;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
126,69025980,7458,428097,3,0;0;0,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
127,69998655,6933,3462065,2,1;1,8,True,MATCHABLE
128,70259242,9424,593700,4,1;2;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
129,70481583,9981,5692,2,1;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
130,70751662,6933,121308,2,0;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
131,70832181,6933,2935373,2,1;1,8,True,MATCHABLE
132,71185921,9319,1416674,4,0;1;1;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
133,71583219,2548,289762,4,1;1;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
134,71899645,7458,1027153,4,0;0;1;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
135,72410702,144537,289762,2,0;0,5,True,MATCHABLE
136,72410708,144537,289762,2,0;0,5,True,MATCHABLE
137,72849769,9319,2664595,2,2;2,4,True,MATCHABLE
138,73215737,7458,3210720,2,0;0,9,True,MATCHABLE
139,73311285,2548,289762,2,2;2,10,True,MATCHABLE
140,74759190,144537,1255620,2,0;0,5,True,MATCHABLE
141,75650782,9424,511314,3,0;0;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
142,75678014,9915,4311210,2,0;0,4,True,MATCHABLE
143,75922259,10224,137344,2,1;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
144,75967174,9319,1459469,2,1;1,3,True,MATCHABLE
145,76549693,4368,2852236,2,2;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
146,76804664,145242,4151344,2,2;2,5,True,MATCHABLE
147,78061896,558441,2640786,2,0;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
148,78368650,7109,228106,2,1;1,6,True,MATCHABLE
149,78508919,144537,3367509,2,1;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
150,78626654,9981,3468840,2,0;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
151,78729346,558441,104202,3,1;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
152,78903772,144537,584563,3,2;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
153,79225528,11858,2530133,2,0;0,6,True,MATCHABLE
154,79891841,9981,1522777,2,1;1,4,True,MATCHABLE
155,79907590,558441,3705155,2,0;0,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
156,79950442,9721,584563,2,2;2,8,True,MATCHABLE
157,79976405,9915,26019,4,0;1;1;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
158,80070349,4205,2640786,2,0;0,6,True,MATCHABLE
159,80283126,9721,228106,2,1;1,3,True,MATCHABLE
160,80882816,9424,519692,2,2;2,4,True,MATCHABLE
161,82715874,558441,4494687,3,1;1;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
162,82721369,9319,1187449,3,1;1;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
163,82856394,4205,4494687,2,0;1,5,True,MATCHABLE
164,84629757,145242,3780928,2,2;2,5,True,MATCHABLE
165,85835605,10247,1050823,2,1;1,4,True,MATCHABLE
166,88842436,9981,1054732,2,1;1,4,True,MATCHABLE
167,90643097,11858,90390,2,2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
168,92667788,11858,4767684,4,0;0;0;0,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
169,93640112,2548,3130229,5,1;1;1;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
170,93728165,62550,1160052,2,0;1,3,True,MATCHABLE
171,94076198,6933,802464,2,1;1,8,True,MATCHABLE
172,95289102,10247,3780928,2,1;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
173,95583754,144537,119083,4,0;1;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
174,95588219,2548,3367509,2,2;2,10,True,MATCHABLE
175,95692983,4368,119083,5,0;0;0;0;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
176,95976194,10247,2380156,4,2;2;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
177,97109215,9319,1792086,2,0;0,4,True,MATCHABLE
178,97516157,7458,3156584,2,0;0,9,True,MATCHABLE
179,98371119,6933,4924157,2,2;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
180,98568814,7458,2144373,2,0;1,4,True,MATCHABLE
181,99287038,9915,2202406,5,1;1;1;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
182,99337586,2548,3617051,2,2;2,10,True,MATCHABLE
183,99903092,7458,3780928,2,0;0,9,True,MATCHABLE
184,100353209,4345,5189135,2,0;0,5,True,MATCHABLE
185,100511172,6933,828994,5,1;1;1;1;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
186,101054554,7458,6755,2,0;0,9,True,MATCHABLE
187,101272990,7109,3156584,3,0;0;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
188,101273530,2548,3156584,2,1;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
189,101667102,2548,3156584,2,1;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
190,101738815,7109,483232,2,1;1,6,True,MATCHABLE
191,102023627,7109,41329,3,1;1;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
192,102154123,4345,748116,2,0;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
193,103621076,4345,1118315,3,0;0;0,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
194,103838583,558441,2627439,2,2;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
195,103838620,558441,2627439,3,1;1;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
196,104219906,9915,3442973,5,1;1;2;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
197,104222275,9915,3442973,5,0;0;0;0;0,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
198,104302369,4205,385459,2,2;2,3,True,MATCHABLE
199,105040663,145242,754633,3,2;2;2,3,True,MATCHABLE
200,105102716,7109,5040399,2,0;0,4,True,MATCHABLE
201,105203791,558441,3977395,3,0;1;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
202,106762279,10247,388075,2,1;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
203,107068702,145242,754633,4,2;2;2;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
204,107810073,7109,6755,2,0;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
205,107881147,558441,1495122,2,1;1,3,True,MATCHABLE
206,108019748,6933,1495122,3,1;1;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
207,108089060,9319,1250923,4,1;1;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
208,108278869,10227,5378484,2,2;2,6,True,MATCHABLE
209,108384405,9771,5378484,3,0;0;0,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
210,108509033,6933,4936898,3,1;1;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
211,108818566,9424,3950309,2,0;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
212,108821148,145242,3407654,4,2;2;2;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
213,109875342,9981,1014916,2,0;1,3,True,MATCHABLE
214,109982661,2548,2241434,2,2;2,10,True,MATCHABLE
215,111510264,9424,2305783,4,0;0;0;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
216,111590290,7109,3826865,2,2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
217,112700979,9424,401030,2,1;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
218,112761145,10227,2241434,2,0;0,5,True,MATCHABLE
219,113033492,16028,3950309,2,2;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
220,113542660,10224,1673632,2,1;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
221,114690567,9424,428361,2,1;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
222,115171699,145242,5378484,3,1;1;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
223,115837959,7109,2361065,2,1;1,6,True,MATCHABLE
224,116172471,4205,4146856,2,1;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
225,116496595,10227,2554418,3,1;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
226,116658092,144537,1572028,5,0;0;2;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
227,117883042,4205,5701712,2,0;0,6,True,MATCHABLE
228,118212026,558441,3283576,3,0;0;0,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
229,120480577,9424,5047019,4,0;0;1;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
230,120480580,9424,5047019,5,0;1;1;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
231,121066746,11858,2044851,3,0;0;0,8,True,MATCHABLE
232,121726197,7470,5354795,5,0;0;1;1;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
233,121777859,14898,3822462,3,2;2;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
234,121868610,9921,696052,2,1;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
235,122090046,11858,4582350,3,0;0;0,8,True,MATCHABLE
236,122406384,14898,441187,2,2;2,8,True,MATCHABLE
237,122583226,9721,1034489,2,1;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
238,123550555,9921,809647,3,1;1;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
239,123577494,11858,385459,2,0;0,6,True,MATCHABLE
240,123763419,4345,547500,2,1;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
241,123897958,9346,5645245,3,0;0;0,3,True,MATCHABLE
242,124494817,558441,881785,5,1;1;1;1;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
243,125332514,558441,4549161,2,2;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
244,125482362,11858,4726573,4,0;0;0;0,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
245,126102443,4368,5231508,2,1;2,4,True,MATCHABLE
246,126305408,11858,2514171,3,0;0;0,8,True,MATCHABLE
247,126609779,7458,1559150,2,1;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
248,126703834,11858,1459469,3,0;0;0,8,True,MATCHABLE
249,128368721,62148,1038125,5,1;1;1;1;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
250,128368746,62148,1038125,3,1;2;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
251,129564151,10247,90390,3,1;1;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
252,129811985,16028,2256664,2,1;2,6,True,MATCHABLE
253,130710116,16028,285440,3,2;2;2,3,True,MATCHABLE
254,132045180,2548,6045581,3,1;1;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
255,133228892,7294,85608,2,0;0,4,True,MATCHABLE
256,134091970,4345,107247,3,0;0;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
257,135751397,2548,554,2,1;1,3,True,MATCHABLE
258,136311395,2548,3132814,2,2;2,10,True,MATCHABLE
259,136928950,2548,582103,5,2;2;2;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
260,137815096,4345,5521295,5,0;0;1;1;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
261,138081575,6987,5154363,2,0;1,3,True,MATCHABLE
262,138496514,9981,1596155,3,2;2;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
263,138560828,7294,3367509,3,0;0;0,3,True,MATCHABLE
264,139118379,145242,3574174,2,2;2,5,True,MATCHABLE
265,140988335,7109,1065857,3,0;1;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
266,141141661,4205,3138967,2,0;0,6,True,MATCHABLE
267,141713249,9915,299543,3,0;0;0,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
268,141838314,4205,5847412,2,2;2,3,True,MATCHABLE
269,142812807,4205,5847412,3,2;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
270,143199552,4345,5521295,5,1;1;1;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
271,143297143,7470,6220833,2,0;1,3,True,MATCHABLE
272,144209930,9771,427851,4,2;2;2;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
273,144246419,9346,3574174,2,2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
274,144674857,9721,1577538,5,1;1;1;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
275,145534145,9915,6096368,2,0;1,3,True,MATCHABLE
276,145633555,145242,3983455,3,1;1;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
277,146194640,558441,5701712,3,1;1;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
278,146228494,4345,3506688,2,0;0,5,True,MATCHABLE
279,146539414,7470,28726,2,0;1,3,True,MATCHABLE
280,146973540,9319,226701,2,2;2,4,True,MATCHABLE
281,147055392,4345,6146311,3,1;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
282,147698175,558441,881785,5,0;0;1;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
283,148285314,7294,3474507,5,0;1;1;1;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
284,148392927,9981,3021352,2,1;1,4,True,MATCHABLE
285,148458284,62148,5482951,3,1;2;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
286,148492713,2548,554,2,1;1,3,True,MATCHABLE
287,148913047,7109,993246,3,0;0;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
288,149018254,2548,94514,2,2;2,10,True,MATCHABLE
289,149066536,4345,6146311,3,0;0;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
290,149159812,9915,518331,4,1;1;1;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
291,150013574,4368,119083,2,1;2,4,True,MATCHABLE
292,150402987,9771,1459561,2,2;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
293,150825712,4209,5231508,3,0;0;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
294,152552707,145242,2115148,3,1;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
295,153375937,2548,6084418,2,1;1,3,True,MATCHABLE
296,153494559,14898,3574174,2,2;2,8,True,MATCHABLE
297,154550393,558441,4522909,3,0;1;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
298,156032745,4209,3525243,3,0;0;0,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
299,156035756,4209,3525243,5,0;0;0;0;0,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
300,156596787,558441,828994,5,2;2;2;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
301,157357727,9981,2788961,2,2;2,4,True,MATCHABLE
302,159203831,62550,518331,2,1;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
303,159536189,9346,21451,2,0;1,3,True,MATCHABLE
304,159545006,10224,2686261,2,2;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
305,160342704,9346,5797918,2,1;1,3,True,MATCHABLE
306,160413228,12024,5815692,2,0;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
307,160895895,9721,5504538,4,0;2;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
308,161231191,9721,1878517,2,1;1,3,True,MATCHABLE
309,161600028,9346,4558493,2,0;1,3,True,MATCHABLE
310,161600716,9346,4558493,4,0;0;1;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
311,161940746,62148,2596094,2,1;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
312,163118864,9915,286912,3,2;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
313,163968405,9981,1035920,2,0;1,3,True,MATCHABLE
