class_index,common_name,existing_groups,family,genus,new_group_target,origin,scientific_name,taxon_id,taxonomy_category_id
74,downy woodpecker,26,Picidae,Dryobates,24,inspected_seed,Dryobates pubescens,792988,
75,nashville warbler,26,Parulidae,Leiothlypis,24,inspected_seed,Leiothlypis ruficapilla,979753,
76,tennessee warbler,26,Parulidae,Leiothlypis,24,inspected_seed,Leiothlypis peregrina,979756,
77,pelagic cormorant,26,,Urile,24,inspected_seed,Urile pelagicus,1289605,
78,evening grosbeak,26,,Hesperiphona,24,inspected_seed,Hesperiphona vespertina,1650411,
79,Arctic Tern,0,Laridae,Sterna,50,inat2021_taxonomic_neighbor,Sterna paradisaea,4449,3433.0
80,Northern Pintail,0,Anatidae,Anas,50,inat2021_taxonomic_neighbor,Anas acuta,6933,3191.0
81,White-cheeked Pintail,0,Anatidae,Anas,50,inat2021_taxonomic_neighbor,Anas bahamensis,6951,3192.0
82,Chestnut Teal,0,Anatidae,Anas,50,inat2021_taxonomic_neighbor,Anas castanea,6958,3193.0
83,Green-winged Teal,0,Anatidae,Anas,50,inat2021_taxonomic_neighbor,Anas crecca,6937,3194.0
84,Yellow-billed Teal,0,Anatidae,Anas,50,inat2021_taxonomic_neighbor,Anas flavirostris,6947,3197.0
85,Yellow-billed Pintail,0,Anatidae,Anas,50,inat2021_taxonomic_neighbor,Anas georgica,6988,3199.0
86,Grey Teal,0,Anatidae,Anas,50,inat2021_taxonomic_neighbor,Anas gracilis,6969,3200.0
87,Pacific Black Duck,0,Anatidae,Anas,50,inat2021_taxonomic_neighbor,Anas superciliosa,6987,3204.0
88,Eurasian Wigeon,0,Anatidae,Mareca,50,inat2021_taxonomic_neighbor,Mareca penelope,558441,3254.0
89,Black Guillemot,0,Alcidae,Cepphus,50,inat2021_taxonomic_neighbor,Cepphus grylle,4418,3340.0
90,Whiskered Tern,0,Laridae,Chlidonias,50,inat2021_taxonomic_neighbor,Chlidonias hybrida,62148,3392.0
91,White-winged Tern,0,Laridae,Chlidonias,50,inat2021_taxonomic_neighbor,Chlidonias leucopterus,4514,3393.0
92,European Herring Gull,0,Laridae,Larus,50,inat2021_taxonomic_neighbor,Larus argentatus,204533,3409.0
93,Caspian Gull,0,Laridae,Larus,50,inat2021_taxonomic_neighbor,Larus cachinnans,4389,3410.0
94,Common Gull,0,Laridae,Larus,50,inat2021_taxonomic_neighbor,Larus canus,4356,3412.0
95,Kelp Gull,0,Laridae,Larus,50,inat2021_taxonomic_neighbor,Larus dominicanus,4388,3415.0
96,Lesser Black-backed Gull,0,Laridae,Larus,50,inat2021_taxonomic_neighbor,Larus fuscus,4381,3416.0
97,Great Black-backed Gull,0,Laridae,Larus,50,inat2021_taxonomic_neighbor,Larus marinus,4368,3422.0
98,Yellow-legged Gull,0,Laridae,Larus,50,inat2021_taxonomic_neighbor,Larus michahellis,59202,3423.0
99,Pacific Gull,0,Laridae,Larus,50,inat2021_taxonomic_neighbor,Larus pacificus,4390,3425.0
