analysis_branch,mode,model,training_policy,before,after,groups,taxa,observers,delta_accuracy,observer_signflip_p,observer_signflip_p_holm64,observer_signflip_p_holm128,taxon_signflip_p_holm128,macro_before,macro_after,lower95,upper95,positive_taxa,negative_taxa,zero_taxa,leave_one_taxon_out_min,leave_one_taxon_out_max
primary,full8,probability_mlp,all,2,4,230,56,195,0.039246031746031744,0.0001,0.0064,0.0128,0.0027199456010879785,0.6155163454270597,0.6547623771730915,0.02803286981266272,0.05063269118218275,36,9,11,0.033966329966329964,0.04129292929292928
primary,full8,probability_mlp,all,2,5,108,47,93,0.0539598108747045,0.0031,0.0527,0.10439999999999999,0.15871682566348674,0.5606973995271868,0.614657210401891,0.038635741725768315,0.06943397852639871,26,8,13,0.04643719806763285,0.0623792270531401
primary,full8,probability_mlp,k1,1,2,1121,56,759,0.06580109626300171,0.0001,0.0064,0.0128,0.0025599488010239796,0.5812794675575651,0.6470805638205668,0.0574530442555803,0.07472578621149732,53,3,0,0.06369522652916662,0.06770455053849063
primary,full8,probability_mlp,k1,2,3,510,56,407,0.02619098026092074,0.0001,0.0064,0.0128,0.0025599488010239796,0.6359378143901954,0.662128794651116,0.018143334805550953,0.03461726977588994,44,7,5,0.024646977881826373,0.028023601258449743
primary,full8,probability_mlp,k1,2,4,230,56,195,0.03525911753590323,0.0002,0.0064,0.0128,0.007979840403191937,0.6147257653061224,0.6499848828420257,0.023237054780576236,0.04778966722146859,35,8,13,0.030849687349687342,0.038172919672919664
primary,full8,probability_mlp,k1,2,5,108,47,93,0.05372340425531914,0.0029,0.052199999999999996,0.10439999999999999,0.06803863922721545,0.559160756501182,0.6128841607565011,0.03431602639873915,0.0725061514972419,24,12,11,0.04728260869565217,0.0592391304347826
primary,full8,deepsets,all,1,2,1121,56,759,0.0741910808617455,0.0001,0.0064,0.0128,0.0025599488010239796,0.5757813927178079,0.6499724735795535,0.06283204910027818,0.08528787980380523,52,4,0,0.07216005622473294,0.07636565738685584
primary,full8,deepsets,all,2,3,510,56,407,0.025745557627998107,0.0001,0.0064,0.0128,0.0025599488010239796,0.6313439889035128,0.6570895465315107,0.016362270638943924,0.03506027966466716,40,11,5,0.023789416251537465,0.0275267899889112
primary,full8,deepsets,all,2,4,230,56,195,0.03682681405895691,0.0001,0.0064,0.0128,0.011439771204575908,0.6088222789115646,0.6456490929705215,0.024286468990704736,0.049526327405135316,36,9,11,0.03345598845598845,0.04018999518999518
primary,full8,deepsets,all,2,5,108,47,93,0.04504728132387705,0.0097,0.097,0.194,0.10867782644347113,0.5659456264775413,0.6109929078014184,0.03026373128447596,0.05975511229314419,27,11,9,0.032258454106280185,0.048925120772946855
primary,full8,deepsets,k1,1,2,1121,56,759,0.06973466335135395,0.0001,0.0064,0.0128,0.0025599488010239796,0.58508002387277,0.654814687224124,0.05948970744282756,0.07985462200193781,55,1,0,0.06729886261767484,0.07127613534494757
primary,full8,deepsets,k1,2,3,510,56,407,0.024091567603472367,0.0001,0.0064,0.0128,0.005799884002319953,0.6378317554359221,0.6619233230393945,0.01287578511059319,0.03491800636197397,41,9,6,0.02245167402743161,0.026802323378080962
primary,full8,deepsets,k1,2,4,230,56,195,0.03507109788359788,0.0002,0.0064,0.0128,0.016659666806663864,0.6205222505668936,0.6555933484504912,0.02376781852980389,0.046550890708328074,29,13,14,0.028570707070707062,0.03752693602693603
primary,full8,deepsets,k1,2,5,108,47,93,0.03765957446808511,0.0407,0.2849,0.5698,0.49111017779644406,0.5790070921985816,0.6166666666666666,0.02256778467297084,0.05234054866036249,26,10,11,0.02615942028985507,0.04427536231884058
primary,full8,set_transformer,all,1,2,1121,56,759,0.08159251447084702,0.0001,0.0064,0.0128,0.0025599488010239796,0.5390656429154094,0.6206581573862564,0.07184482289302645,0.09143824037187434,54,2,0,0.07919101084894942,0.08332012247806107
primary,full8,set_transformer,all,2,3,510,56,407,0.03742004303016208,0.0001,0.0064,0.0128,0.0025599488010239796,0.613581719757315,0.651001762787477,0.02839736713176246,0.04626207240236503,47,6,3,0.03562565997414483,0.03870646805495291
primary,full8,set_transformer,all,2,4,230,56,195,0.05737953514739229,0.0001,0.0064,0.0128,0.0025599488010239796,0.5899366969009826,0.647316232048375,0.04434423826601848,0.07108857249055926,41,9,6,0.05054401154401154,0.06044300144300143
primary,full8,set_transformer,all,2,5,108,47,93,0.07848699763593381,0.0002,0.0064,0.0128,0.03607927841443171,0.5460992907801419,0.6245862884160756,0.06262834909377461,0.09425958431836089,30,10,7,0.06859903381642513,0.0896135265700483
primary,full8,set_transformer,k1,1,2,1121,56,759,0.06406598763132981,0.0001,0.0064,0.0128,0.0025599488010239796,0.5422711845761595,0.6063371722074893,0.05470224200678505,0.07321345616263884,52,3,1,0.06138466992392743,0.06611236646980578
primary,full8,set_transformer,k1,2,3,510,56,407,0.024285431004181006,0.0001,0.0064,0.0128,0.0025599488010239796,0.5897434807256235,0.6140289117298046,0.016204687231387998,0.03264701192790979,43,9,4,0.022807792375974197,0.025474459042640868
primary,full8,set_transformer,k1,2,4,230,56,195,0.0382619992441421,0.0001,0.0064,0.0128,0.0025599488010239796,0.5699239417989418,0.6081859410430839,0.026567487110860648,0.049925134440350204,38,13,5,0.0339071669071669,0.040523328523328524
primary,full8,set_transformer,k1,2,5,108,47,93,0.02630023640661939,0.1417,0.6155999999999999,1.0,1.0,0.5456855791962175,0.5719858156028367,0.01060886524822695,0.041522005516154446,26,13,8,0.019625603864734303,0.037741545893719815
primary,strict10,mean_feature,all,1,2,1061,50,728,0.0534668454190633,0.0001,0.0064,0.0128,0.0025599488010239796,0.5247469006777644,0.5782137460968277,0.04115550933555632,0.06560566517454298,44,6,0,0.050415322815545144,0.05597770384376469
primary,strict10,mean_feature,all,2,3,479,50,386,0.019639143880810547,0.0042,0.0588,0.11339999999999999,0.15871682566348674,0.5737182237515571,0.5933573676323677,0.007523227658607268,0.03171587138123496,32,11,7,0.016865339560917795,0.022118551956987333
primary,strict10,mean_feature,all,2,4,218,50,186,0.03390626102292769,0.0025,0.05,0.0975,0.10867782644347113,0.5794143738977072,0.6133206349206349,0.014941269748537279,0.052090672333851215,32,8,10,0.029080462872979877,0.03856647950185365
primary,strict10,mean_feature,all,2,5,102,42,88,0.02691798941798941,0.1606,0.6155999999999999,1.0,1.0,0.5135582010582012,0.5404761904761904,0.010762996031746023,0.04502637786596117,16,11,15,0.016192411924119236,0.034891598915989155
primary,strict10,mean_feature,k1,1,2,1061,50,728,0.057916343657804605,0.0001,0.0064,0.0128,0.0025599488010239796,0.5215816289531168,0.5794979726109214,0.04570125387772898,0.07000478364769183,45,5,0,0.05504284151372003,0.05977858196374619
primary,strict10,mean_feature,k1,2,3,479,50,386,0.019852568419235085,0.0027,0.051300000000000005,0.0999,0.15871682566348674,0.5721111308444643,0.5919636992636993,0.00794715684752899,0.03159223551255337,30,15,5,0.017083119702167325,0.02229853920330111
primary,strict10,mean_feature,k1,2,4,218,50,186,0.028811640211640212,0.0057,0.0715,0.143,0.15871682566348674,0.5788063492063492,0.6076179894179894,0.011401079176114891,0.0460066933972663,31,8,11,0.024259799157758343,0.033367886837274596
primary,strict10,mean_feature,k1,2,5,102,42,88,0.031044973544973535,0.1026,0.6155999999999999,1.0,1.0,0.5124735449735449,0.5435185185185185,0.01550245260141093,0.04854153439153438,16,10,16,0.020013550135501348,0.03911924119241192
primary,strict10,probability_mlp,all,1,2,1061,50,728,0.06800850940279149,0.0001,0.0064,0.0128,0.0025599488010239796,0.5722206962422569,0.6402292056450486,0.05808159879089401,0.07786709560139791,47,3,0,0.06560261294371712,0.06966496663013096
primary,strict10,probability_mlp,all,2,3,479,50,386,0.02745719434886102,0.0001,0.0064,0.0128,0.0025599488010239796,0.6203255516088849,0.6477827459577459,0.018585824110853424,0.036362644469488274,38,9,3,0.025749971557794685,0.028395474203297334
primary,strict10,probability_mlp,all,2,4,218,50,186,0.03928888888888888,0.0001,0.0064,0.0128,0.004719905601887962,0.6084894179894179,0.6477783068783068,0.026929495315255726,0.05195146547986478,34,8,8,0.03336356764928193,0.04158730158730159
primary,strict10,probability_mlp,all,2,5,102,42,88,0.06236772486772488,0.0017,0.035699999999999996,0.0697,0.10867782644347113,0.5460978835978835,0.6084656084656084,0.04516884369488537,0.07887007275132274,25,7,10,0.05413279132791328,0.0720189701897019
primary,strict10,probability_mlp,k1,1,2,1061,50,728,0.06767208752275494,0.0001,0.0064,0.0128,0.0025599488010239796,0.5766888959203652,0.6443609834431201,0.05912222740069114,0.07656710927084337,48,2,0,0.06534653968395543,0.06931441445928363
primary,strict10,probability_mlp,k1,2,3,479,50,386,0.027116966675300017,0.0001,0.0064,0.0128,0.0025599488010239796,0.6296974420641087,0.6568144087394088,0.018679544848625003,0.0359084022698457,41,6,3,0.026099269526140285,0.029192887925881133
primary,strict10,probability_mlp,k1,2,4,218,50,186,0.033934656084656074,0.0002,0.0064,0.0128,0.016659666806663864,0.6129373015873015,0.6468719576719576,0.020422344828672195,0.04794775366118668,34,8,8,0.029789709534607484,0.03717822049454701
primary,strict10,probability_mlp,k1,2,5,102,42,88,0.05773809523809523,0.0032,0.0527,0.10439999999999999,0.08319833603327934,0.5487433862433863,0.6064814814814815,0.03706196538800704,0.07911019620811284,23,11,8,0.05060975609756097,0.06402439024390243
primary,strict10,deepsets,all,1,2,1061,50,728,0.07166595220376326,0.0001,0.0064,0.0128,0.0025599488010239796,0.5704210633231818,0.642087015526945,0.060178588722941635,0.08380528879307605,46,4,0,0.06933469743450464,0.07405527016749973
primary,strict10,deepsets,all,2,3,479,50,386,0.03012867533700867,0.0001,0.0064,0.0128,0.0025599488010239796,0.6217084421751088,0.6518371175121176,0.020356148848997124,0.0402377145809702,39,9,2,0.028022457826879597,0.032217469164748075
primary,strict10,deepsets,all,2,4,218,50,186,0.0408015873015873,0.0001,0.0064,0.0128,0.0025599488010239796,0.6052142857142857,0.646015873015873,0.026361296272675735,0.05479956933159062,35,7,8,0.03738257207644962,0.044657704351581895
primary,strict10,deepsets,all,2,5,102,42,88,0.05675925925925924,0.0014,0.0308,0.0602,0.010799784004319914,0.5555423280423281,0.6123015873015872,0.04023810626102292,0.0733422784391534,27,9,6,0.042696476964769636,0.06058265582655826
primary,strict10,deepsets,k1,1,2,1061,50,728,0.06620596548999229,0.0001,0.0064,0.0128,0.0025599488010239796,0.5814794134939558,0.6476853789839481,0.056003408676600024,0.07685601635326195,49,1,0,0.06441739021741755,0.06786417491420225
primary,strict10,deepsets,k1,2,3,479,50,386,0.030011656244989585,0.0001,0.0064,0.0128,0.0025599488010239796,0.6278980211146876,0.6579096773596773,0.02029267574155433,0.040812616934403925,40,7,3,0.028291777509464593,0.03142809697231466
primary,strict10,deepsets,k1,2,4,218,50,186,0.03839074074074074,0.0001,0.0064,0.0128,0.0036599268014639707,0.6192071428571428,0.6575978835978836,0.025775892728542027,0.05103438433274543,28,11,11,0.031162131519274373,0.04068594104308389
primary,strict10,deepsets,k1,2,5,102,42,88,0.045317460317460305,0.0236,0.1888,0.3776,0.33731325373492527,0.5733333333333333,0.6186507936507937,0.029122255291005303,0.062054166666666674,26,8,8,0.032601626016260155,0.05292682926829267
primary,strict10,set_transformer,all,1,2,1061,50,728,0.07884382945089524,0.0001,0.0064,0.0128,0.0025599488010239796,0.5312353943637995,0.6100792238146948,0.06968894777163413,0.08820744848057521,48,2,0,0.07609216854835812,0.08072688568307526
primary,strict10,set_transformer,all,2,3,479,50,386,0.03782050110383445,0.0001,0.0064,0.0128,0.0025599488010239796,0.6047776636943304,0.6425981647981648,0.02831675856828235,0.04741348160139791,43,6,1,0.03581457028735941,0.03927262017398073
primary,strict10,set_transformer,all,2,4,218,50,186,0.06776507936507936,0.0001,0.0064,0.0128,0.0025599488010239796,0.5901179894179894,0.6578830687830688,0.05345422991727555,0.08260283248824218,40,6,4,0.060304502753482335,0.0709054097829608
primary,strict10,set_transformer,all,2,5,102,42,88,0.09259259259259259,0.0001,0.0064,0.0128,0.019739605207895843,0.534920634920635,0.6275132275132274,0.07541069223985891,0.11021673280423279,29,8,5,0.08184281842818428,0.105420054200542
primary,strict10,set_transformer,k1,1,2,1061,50,728,0.0662342652941152,0.0001,0.0064,0.0128,0.0025599488010239796,0.5382818860967914,0.6045161513909065,0.056388325967306474,0.07653797899159077,48,2,0,0.06326887353402649,0.06857547169776752
primary,strict10,set_transformer,k1,2,3,479,50,386,0.02555418007918009,0.0001,0.0064,0.0128,0.0025599488010239796,0.5829756613756614,0.6085298414548415,0.016670773163855495,0.03442277829203712,41,8,1,0.023921498947009165,0.026914696225920725
primary,strict10,set_transformer,k1,2,4,218,50,186,0.037797883597883594,0.0001,0.0064,0.0128,0.0027199456010879785,0.5667037037037038,0.6045015873015873,0.025045975111803974,0.05112129535672291,36,12,2,0.03460101500917827,0.040326638591944707
primary,strict10,set_transformer,k1,2,5,102,42,88,0.029828042328042325,0.1264,0.6155999999999999,1.0,1.0,0.5348544973544973,0.5646825396825396,0.0134069885361552,0.045900418871252194,25,12,5,0.022425474254742547,0.042750677506775074
exclude_affected,full8,mean_feature,all,1,2,1112,56,755,0.053042699918147806,0.0001,0.0064,0.0128,0.0025599488010239796,0.5283299293040783,0.5813726292222261,0.04161379561007606,0.06481390424930701,47,8,1,0.05013505877187843,0.05529269574769724
exclude_affected,full8,mean_feature,all,2,3,504,56,402,0.01632396676295486,0.0108,0.09720000000000001,0.194,0.33731325373492527,0.5832868167987215,0.5996107835616764,0.005198865822918463,0.02742041892012165,33,13,10,0.013792483330362123,0.019218168756047548
exclude_affected,full8,mean_feature,all,2,4,227,56,193,0.029379881582262533,0.0031,0.052199999999999996,0.10439999999999999,0.15871682566348674,0.586658950617284,0.6160388321995465,0.013158773870043687,0.046081437325720224,32,9,15,0.024998236331569664,0.03344941478274811
exclude_affected,full8,mean_feature,all,2,5,108,47,93,0.024054373522458625,0.1681,0.6155999999999999,1.0,1.0,0.5227541371158392,0.5468085106382978,0.009625384160756496,0.04028517040977147,16,11,20,0.014432367149758452,0.031099033816425117
exclude_affected,full8,mean_feature,k1,1,2,1112,56,755,0.05683232361201421,0.0001,0.0064,0.0128,0.0025599488010239796,0.5253805310417088,0.5822128546537231,0.04509414368063703,0.06840206730359352,48,7,1,0.0542180516058578,0.059334876419652294
exclude_affected,full8,mean_feature,k1,2,3,504,56,402,0.017047991140253047,0.0064,0.08320000000000001,0.15360000000000001,0.33199336013279734,0.5814958145910527,0.5985438057313058,0.006137412879240867,0.02772264423068395,32,17,7,0.01452967178724755,0.019955357212932973
exclude_affected,full8,mean_feature,k1,2,4,227,56,193,0.024960081254724112,0.0079,0.0912,0.1748,0.19193616127677446,0.5859871031746032,0.6109471844293273,0.00982196737325883,0.04073329114673316,31,10,15,0.020834776334776334,0.02894925444925445
exclude_affected,full8,mean_feature,k1,2,5,108,47,93,0.027387706855791963,0.1169,0.6155999999999999,1.0,1.0,0.5221394799054374,0.5495271867612292,0.012729058313632783,0.04278933215130023,16,11,20,0.017475845410628014,0.03450483091787439
exclude_affected,full8,probability_mlp,all,1,2,1112,56,755,0.06906849105389194,0.0001,0.0064,0.0128,0.0025599488010239796,0.5831497386208663,0.6522182296747582,0.059111245733553815,0.07894689545883282,53,3,0,0.06694432842037296,0.0705635162500871
exclude_affected,full8,probability_mlp,all,2,3,504,56,402,0.028085921739195552,0.0001,0.0064,0.0128,0.0025599488010239796,0.6355454295484056,0.6636313512876013,0.019797782715373413,0.03683353919591801,40,10,6,0.026323847588999107,0.029000615265766784
exclude_affected,full8,probability_mlp,all,2,4,227,56,193,0.039904336734693874,0.0001,0.0064,0.0128,0.0027199456010879785,0.6154065098261527,0.6553108465608466,0.0286503321523991,0.05174228495589704,37,8,11,0.034636604136604125,0.04196320346320345
exclude_affected,full8,probability_mlp,all,2,5,108,47,93,0.0539598108747045,0.0031,0.052199999999999996,0.10439999999999999,0.15871682566348674,0.5606973995271868,0.614657210401891,0.038635741725768315,0.06943397852639871,26,8,13,0.04643719806763285,0.0623792270531401
exclude_affected,full8,probability_mlp,k1,1,2,1112,56,755,0.06617284789803382,0.0001,0.0064,0.0128,0.0025599488010239796,0.5828464847499909,0.6490193326480248,0.057215951660264774,0.07498100159843972,53,3,0,0.06407373728483569,0.0680830612941597
exclude_affected,full8,probability_mlp,k1,2,3,504,56,402,0.026306506269303892,0.0001,0.0064,0.0128,0.0025599488010239796,0.6385551870968538,0.6648616933661576,0.018137382701333183,0.03490719573122449,44,7,5,0.024764604363089218,0.028141227739712595
exclude_affected,full8,probability_mlp,k1,2,4,227,56,193,0.03461356764928192,0.0003,0.0072,0.013799999999999998,0.011439771204575908,0.6145564058956916,0.6491699735449734,0.022836354979326373,0.047112569202614876,34,9,13,0.030192400192400184,0.03751563251563251
exclude_affected,full8,probability_mlp,k1,2,5,108,47,93,0.05372340425531914,0.0029,0.052199999999999996,0.10439999999999999,0.06803863922721545,0.559160756501182,0.6128841607565011,0.03431602639873915,0.0725061514972419,24,12,11,0.04728260869565217,0.0592391304347826
exclude_affected,full8,deepsets,all,1,2,1112,56,755,0.07407371582059,0.0001,0.0064,0.0128,0.0025599488010239796,0.5776317337285158,0.651705449549106,0.06217673590675635,0.08557600742258403,52,4,0,0.07204055727373825,0.07624615843586116
exclude_affected,full8,deepsets,all,2,3,504,56,402,0.024880293593091213,0.0001,0.0064,0.0128,0.0027199456010879785,0.6335206234462186,0.6584009170393098,0.015647788293890602,0.03421905929467503,39,11,6,0.022908420143268625,0.026645793880642366
exclude_affected,full8,deepsets,all,2,4,227,56,193,0.036948696145124714,0.0002,0.0064,0.0128,0.00989980200395992,0.6100085034013605,0.6469571995464853,0.02456632561672155,0.04934257110210154,36,9,11,0.03358008658008657,0.0403140933140933
exclude_affected,full8,deepsets,all,2,5,108,47,93,0.04504728132387705,0.0097,0.097,0.194,0.10867782644347113,0.5659456264775413,0.6109929078014184,0.03026373128447596,0.05975511229314419,27,11,9,0.032258454106280185,0.048925120772946855
exclude_affected,full8,deepsets,k1,1,2,1112,56,755,0.07039005623510985,0.0001,0.0064,0.0128,0.0025599488010239796,0.5868450413988613,0.6572350976339713,0.06043090676349386,0.08060130844290363,55,1,0,0.06796617173568086,0.0719434444629536
exclude_affected,full8,deepsets,k1,2,3,504,56,402,0.0235848063973064,0.0001,0.0064,0.0128,0.007979840403191937,0.6407768025625168,0.6643616089598233,0.01246144397133967,0.034405893688250706,40,9,7,0.021935698981153537,0.02628634833180289
exclude_affected,full8,deepsets,k1,2,4,227,56,193,0.03642526455026454,0.0002,0.0064,0.0128,0.011999760004799903,0.6212896825396825,0.6577149470899472,0.025219860953640715,0.04720705706858361,30,12,14,0.02994949494949494,0.038905723905723895
exclude_affected,full8,deepsets,k1,2,5,108,47,93,0.03765957446808511,0.0407,0.2849,0.5698,0.49111017779644406,0.5790070921985816,0.6166666666666666,0.02256778467297084,0.05234054866036249,26,10,11,0.02615942028985507,0.04427536231884058
exclude_affected,full8,set_transformer,all,1,2,1112,56,755,0.08172654846750972,0.0001,0.0064,0.0128,0.0025599488010239796,0.5407022492877852,0.6224287977552949,0.07190663536009255,0.0916761645169995,54,2,0,0.07932748182736964,0.08345659345648127
exclude_affected,full8,set_transformer,all,2,3,504,56,402,0.03815337192569336,0.0001,0.0064,0.0128,0.0025599488010239796,0.6155897178218607,0.653743089747554,0.029084419848049547,0.04757109856314951,47,6,3,0.03637232212232213,0.03945313020313022
exclude_affected,full8,set_transformer,all,2,4,227,56,193,0.05742299697656839,0.0001,0.0064,0.0128,0.0025599488010239796,0.5910369425547997,0.6484599395313682,0.04386782084030703,0.07150594073001773,41,9,6,0.05058826358826358,0.060487253487253485
exclude_affected,full8,set_transformer,all,2,5,108,47,93,0.07848699763593381,0.0002,0.0064,0.0128,0.03607927841443171,0.5460992907801419,0.6245862884160756,0.06262834909377461,0.09425958431836089,30,10,7,0.06859903381642513,0.0896135265700483
exclude_affected,full8,set_transformer,k1,1,2,1112,56,755,0.06438212373315977,0.0001,0.0064,0.0128,0.0025599488010239796,0.5442069168325644,0.6085890405657243,0.05509396373652668,0.07398683080445252,52,3,1,0.06170655395488157,0.06643425050075992
exclude_affected,full8,set_transformer,k1,2,3,504,56,402,0.025000418177501517,0.0001,0.0064,0.0128,0.0025599488010239796,0.5931834143590095,0.6181838325365111,0.016933099321998164,0.03299687409458739,43,9,4,0.02353577931608235,0.026202445982749022
exclude_affected,full8,set_transformer,k1,2,4,227,56,193,0.038714096749811036,0.0001,0.0064,0.0128,0.0027199456010879785,0.5710251322751323,0.6097392290249434,0.027293431216181347,0.05057598428370466,38,13,5,0.03436748436748435,0.04098364598364599
exclude_affected,full8,set_transformer,k1,2,5,108,47,93,0.02630023640661939,0.1417,0.6155999999999999,1.0,1.0,0.5456855791962175,0.5719858156028367,0.01060886524822695,0.041522005516154446,26,13,8,0.019625603864734303,0.037741545893719815
exclude_affected,strict10,mean_feature,all,1,2,1052,50,723,0.05381085421135585,0.0001,0.0064,0.0128,0.0025599488010239796,0.5258854130764599,0.5796962672878158,0.041305416801412954,0.06603362947414274,44,6,0,0.050766352195435495,0.056328733223655024
exclude_affected,strict10,mean_feature,all,2,3,473,50,381,0.019843689335356,0.0026,0.0494,0.0988,0.15871682566348674,0.5755299120632454,0.5953736013986014,0.008133490426326932,0.0316385578006344,32,11,7,0.01707405941249479,0.022327271808564326
exclude_affected,strict10,mean_feature,all,2,4,215,50,184,0.03346102292768959,0.0029,0.052199999999999996,0.10439999999999999,0.11879762404751905,0.5798358024691358,0.6132968253968254,0.015068931866934017,0.05207012371924078,32,8,10,0.02862613828600223,0.038112154914876004
exclude_affected,strict10,mean_feature,all,2,5,102,42,88,0.02691798941798941,0.1606,0.6155999999999999,1.0,1.0,0.5135582010582012,0.5404761904761904,0.010762996031746023,0.04502637786596117,16,11,15,0.016192411924119236,0.034891598915989155
exclude_affected,strict10,mean_feature,k1,1,2,1052,50,723,0.05830046282704963,0.0001,0.0064,0.0128,0.0025599488010239796,0.5226887087958946,0.5809891716229442,0.04577051667061152,0.07074170557436082,45,5,0,0.05543479984968434,0.060170540299710515
exclude_affected,strict10,mean_feature,k1,2,3,473,50,381,0.020099041082374414,0.0013,0.0286,0.0572,0.15871682566348674,0.5739684340351008,0.5940674751174752,0.008427837806327767,0.031443466987715434,30,15,5,0.017334622419656432,0.022550041920790218
exclude_affected,strict10,mean_feature,k1,2,4,215,50,184,0.028455291005291004,0.0076,0.0912,0.1748,0.17663646727065457,0.579138888888889,0.6075941798941799,0.011538202459687575,0.04515464190444696,31,8,11,0.0238961775186265,0.03300426519814275
exclude_affected,strict10,mean_feature,k1,2,5,102,42,88,0.031044973544973535,0.1026,0.6155999999999999,1.0,1.0,0.5124735449735449,0.5435185185185185,0.01550245260141093,0.04854153439153438,16,10,16,0.020013550135501348,0.03911924119241192
exclude_affected,strict10,probability_mlp,all,1,2,1052,50,723,0.06848173803872036,0.0001,0.0064,0.0128,0.0025599488010239796,0.5742669889613186,0.6427487270000389,0.05850997670138366,0.07865047013552443,47,3,0,0.06608549930690985,0.07014785299332368
exclude_affected,strict10,probability_mlp,all,2,3,473,50,381,0.02765993605160272,0.0001,0.0064,0.0128,0.0025599488010239796,0.6226230504063838,0.6502829864579864,0.01903983786928166,0.036739061949474426,38,9,3,0.02595685084630663,0.028602353491809274
exclude_affected,strict10,probability_mlp,all,2,4,215,50,184,0.04002619047619047,0.0001,0.0064,0.0128,0.0027199456010879785,0.6083664021164021,0.6483925925925926,0.02766023729476358,0.05300875735649195,35,7,8,0.034115916207752936,0.042339650145772595
exclude_affected,strict10,probability_mlp,all,2,5,102,42,88,0.06236772486772488,0.0017,0.033999999999999996,0.0697,0.10867782644347113,0.5460978835978835,0.6084656084656084,0.04516884369488537,0.07887007275132274,25,7,10,0.05413279132791328,0.0720189701897019
exclude_affected,strict10,probability_mlp,k1,1,2,1052,50,723,0.06808844935399093,0.0001,0.0064,0.0128,0.0025599488010239796,0.5784439551758821,0.646532404529873,0.05946640855894099,0.07720008714150135,48,2,0,0.0657713986954207,0.0697392734707489
exclude_affected,strict10,probability_mlp,k1,2,3,473,50,381,0.02724635580468914,0.0001,0.0064,0.0128,0.0025599488010239796,0.6326288994955661,0.6598752553002553,0.018565614109969777,0.03595734759119279,41,6,3,0.02623129925000674,0.029324917649747588
exclude_affected,strict10,probability_mlp,k1,2,4,215,50,184,0.0332116402116402,0.0007,0.0161,0.0315,0.021599568008639828,0.612747619047619,0.6459592592592591,0.019792735205656338,0.04771672767069788,33,9,8,0.029051938235611693,0.03644044919555122
exclude_affected,strict10,probability_mlp,k1,2,5,102,42,88,0.05773809523809523,0.0032,0.052199999999999996,0.10439999999999999,0.08319833603327934,0.5487433862433863,0.6064814814814815,0.03706196538800704,0.07911019620811284,23,11,8,0.05060975609756097,0.06402439024390243
exclude_affected,strict10,deepsets,all,1,2,1052,50,723,0.07153450335766912,0.0001,0.0064,0.0128,0.0025599488010239796,0.5724934452551748,0.644027948612844,0.06010060877409422,0.08300786772566272,46,4,0,0.06920056595889836,0.07392113869189344
